,from,to,value,from_id,to_id
176,花粉,予報,0.08085173520220965,108,46
177,花粉,動き,0.0801509450305566,108,122
178,賃貸,物件,0.1691700853321552,5,106
179,賃貸,情報,0.144107372534208,5,61
180,賃貸,CHINTAI,0.12225135136038236,5,97
181,賃貸,部屋,0.11843437134873262,5,64
182,賃貸,アパート,0.10378831124973276,5,164
183,住宅,中古,0.09666385718410951,52,118
184,住宅,賃貸,0.06997452077144134,52,5
185,住宅,物件,0.062467189166861614,52,106
186,住宅,情報,0.04850958037096861,52,61
187,住宅,不動産,0.03855387607802015,52,103
188,不動産,物件,0.09163206642568192,103,106
189,不動産,賃貸,0.07771559341891522,103,5
190,不動産,マンション,0.07672126759053018,103,10
191,不動産,住宅,0.07146218743128685,103,52
192,不動産,情報,0.07125204342565117,103,61
193,天気,予報,0.21399869414189757,130,46
194,天気,気温,0.15186249206821778,130,162
195,天気,降水,0.1318059058496222,130,193
196,天気,チェック,0.09686420933024967,130,189
197,天気,気象,0.07839963589867303,130,132
198,府,大阪,0.09434207297800562,32,129
199,府,賃貸,0.041066751814700236,32,5
200,府,京都,0.0336678738964791,32,16
201,府,検索,0.032844306647038496,32,143
202,府,情報,0.03223244375191863,32,61
203,駅,路線,0.10127772791572144,76,141
204,駅,案内,0.10106010391641317,76,136
205,駅,JR,0.06963649102772966,76,154
206,駅,時刻,0.06702159159264866,76,24
207,駅,きっぷ,0.05384814401858755,76,142
208,観光,スポット,0.05374079748329428,183,131
209,観光,口コミ,0.04553480469444897,183,202
210,観光,名所,0.0326634059212316,183,149
211,観光,紹介,0.03065831334925515,183,171
212,観光,情報,0.02772363561791658,183,61
213,賃貸,物件,0.1691700853321552,5,106
214,賃貸,情報,0.144107372534208,5,61
215,賃貸,CHINTAI,0.12225135136038236,5,97
216,賃貸,部屋,0.11843437134873262,5,64
217,賃貸,アパート,0.10378831124973276,5,164
218,部屋,賃貸,0.1894883432408163,64,5
219,部屋,物件,0.11092208901298742,64,106
220,部屋,ネット,0.05710831875024534,64,160
221,部屋,マンション,0.045853173978494505,64,10
222,部屋,アパート,0.04502456432592267,64,164
223,検索,条件,0.04768383913650711,143,163
224,検索,出版,0.04406040488752634,143,184
225,検索,郵便,0.04395547999009003,143,205
226,検索,店舗,0.039479261653417266,143,201
227,検索,書名,0.031166163759201827,143,148
228,科学,研究,0.06452453302368862,207,33
229,科学,技術,0.06257641024421685,207,153
230,科学,月,0.02238486757286129,207,170
231,科学,財団,0.020391518440160947,207,137
232,科学,社会,0.019404388940118766,207,80
233,環境,対策,0.03423765829966546,178,79
234,環境,保全,0.03372141077086554,178,185
235,環境,地球,0.027326790501367732,178,213
236,環境,月,0.02715745963457617,178,170
237,環境,活動,0.025057928539775905,178,195
238,製品,情報,0.052510484704691114,144,61
239,製品,一覧,0.02738994673627431,144,203
240,製品,機器,0.023050516627761752,144,66
241,製品,紹介,0.02150306500295723,144,171
242,製品,価格,0.019870844051716584,144,56
243,サービス,利用,0.06514794488667704,49,172
244,サービス,カード,0.03564378648740958,49,182
245,サービス,会員,0.029086741609480497,49,50
246,サービス,ログイン,0.028951913075163,49,68
247,サービス,登録,0.02745819701239601,49,54
248,質問,回答,0.03290952392741643,117,17
249,質問,問い合わせ,0.02551822417937367,117,65
250,質問,商品,0.024849582659995186,117,181
251,質問,Q,0.023201033101989378,117,45
252,質問,カード,0.021457775807719494,117,182
253,問い合わせ,電話,0.06583020758292327,65,22
254,問い合わせ,質問,0.035857698262138145,65,117
255,問い合わせ,内容,0.03037119670919278,65,197
256,問い合わせ,案内,0.030215554159017055,65,136
257,問い合わせ,おの,0.029396520653243927,65,200
258,在,月,0.048659009025418955,127,170
259,在,日,0.0410796315141754,127,25
260,在,日本,0.029896443594273403,127,121
261,在,大分,0.02646175181851553,127,112
262,在,賃貸,0.023829944343708057,127,5
263,利用,サービス,0.04934081953931908,172,49
264,利用,カード,0.037790834419208816,172,182
265,利用,確認,0.03256716033771508,172,6
266,利用,ポイント,0.03129430010057867,172,190
267,利用,規約,0.03028326782755706,172,89
268,宝くじ,ジャンボ,0.10405660879244848,128,57
269,宝くじ,ロト,0.09739475564521122,128,9
270,宝くじ,ナンバーズ,0.08403401016445558,128,169
271,宝くじ,当せん,0.0827468085152718,128,104
272,宝くじ,くじ,0.08188819079171851,128,146
273,花粉,気象,0.16171402270533305,108,132
274,花粉,予測,0.16075518430699143,108,192
275,花粉,メッシュ,0.08322968129535034,108,23
276,花粉,予報,0.08085173520220965,108,46
277,花粉,動き,0.0801509450305566,108,122
278,賃貸,物件,0.1691700853321552,5,106
279,賃貸,情報,0.144107372534208,5,61
280,賃貸,CHINTAI,0.12225135136038236,5,97
281,賃貸,部屋,0.11843437134873262,5,64
282,賃貸,アパート,0.10378831124973276,5,164
283,住宅,中古,0.09666385718410951,52,118
284,住宅,賃貸,0.06997452077144134,52,5
285,住宅,物件,0.062467189166861614,52,106
286,住宅,情報,0.04850958037096861,52,61
287,住宅,不動産,0.03855387607802015,52,103
288,不動産,物件,0.09163206642568192,103,106
289,不動産,賃貸,0.07771559341891522,103,5
290,不動産,マンション,0.07672126759053018,103,10
291,不動産,住宅,0.07146218743128685,103,52
292,不動産,情報,0.07125204342565117,103,61
293,科学,研究,0.06452453302368862,207,33
294,科学,技術,0.06257641024421685,207,153
295,科学,月,0.02238486757286129,207,170
296,科学,財団,0.020391518440160947,207,137
297,科学,社会,0.019404388940118766,207,80
298,環境,対策,0.03423765829966546,178,79
299,環境,保全,0.03372141077086554,178,185
300,環境,地球,0.027326790501367732,178,213
301,環境,月,0.02715745963457617,178,170
302,環境,活動,0.025057928539775905,178,195
303,花粉,気象,0.16171402270533305,108,132
304,花粉,予測,0.16075518430699143,108,192
305,花粉,メッシュ,0.08322968129535034,108,23
306,花粉,予報,0.08085173520220965,108,46
307,花粉,動き,0.0801509450305566,108,122
308,賃貸,物件,0.1691700853321552,5,106
309,賃貸,情報,0.144107372534208,5,61
310,賃貸,CHINTAI,0.12225135136038236,5,97
311,賃貸,部屋,0.11843437134873262,5,64
312,賃貸,アパート,0.10378831124973276,5,164
313,住宅,中古,0.09666385718410951,52,118
314,住宅,賃貸,0.06997452077144134,52,5
315,住宅,物件,0.062467189166861614,52,106
316,住宅,情報,0.04850958037096861,52,61
317,住宅,不動産,0.03855387607802015,52,103
318,不動産,物件,0.09163206642568192,103,106
319,不動産,賃貸,0.07771559341891522,103,5
320,不動産,マンション,0.07672126759053018,103,10
321,不動産,住宅,0.07146218743128685,103,52
322,不動産,情報,0.07125204342565117,103,61
323,会,研究,0.07054639883430909,208,33
324,会,開催,0.027394186691992766,208,94
325,会,月,0.025492376109085516,208,170
326,会,活動,0.02148126833855896,208,195
327,会,日本,0.017655708937958765,208,121
328,学会,日本,0.05697684117934191,180,121
329,学会,研究,0.048892136690358745,180,33
330,学会,会員,0.03988710005270123,180,50
331,学会,大会,0.03945510742100863,180,166
332,学会,学術,0.03476768290707348,180,105
333,支部,学会,0.03565630591469423,38,180
334,支部,会員,0.032746540284187484,38,50
335,支部,協会,0.02658936741585777,38,95
336,支部,活動,0.026451109937148002,38,195
